Country Name,Country Code,year,gdp_per_capita,school_enrollment,electricity_access,log_gdp
Saudi Arabia,SAU,2017,23929.2907135982,106.244903966787,100,10.082858540412923
Saudi Arabia,SAU,2018,29360.0658968566,106.376211565111,99.9,10.287390727169278
Saudi Arabia,SAU,2019,29566.7933827436,104.048257824894,100,10.294407165395246
Saudi Arabia,SAU,2020,24338.8307301067,104.411027399625,100,10.099828326361589
Saudi Arabia,SAU,2021,31920.7653655643,104.280975297041,100,10.371012028894215
Saudi Arabia,SAU,2022,38510.2276211037,122.158039993668,100,10.5586791374927
Saudi Arabia,SAU,2024,35527.786181866,110.66346516974,100,10.478070378654628
Sudan,SDN,2015,1292.37963867188,42.5230712890625,48,7.164240479161954
Sudan,SDN,2016,1033.21594238281,40.9556007385254,50.5,6.94043149120602
Sudan,SDN,2017,966.505676269531,43.0903282165527,53,6.873687171646692
Sudan,SDN,2018,731.027465820313,42.1366996765137,55.3,6.594451031985538
Sudan,SDN,2019,709.975280761719,43.5378608703613,57.6,6.565230153600711
Senegal,SEN,2015,1218.00613555438,50.5380516052246,60.5,7.104970485658123
Senegal,SEN,2019,1431.18128932159,44.4624552560012,70.4,7.2662554586892565
Senegal,SEN,2020,1461.08720350553,44.7866297761573,64.3,7.286936097516032
Senegal,SEN,2021,1598.10676952274,45.1726204964815,68,7.3765749385640325
Senegal,SEN,2022,1574.0281059306,45.3756792066535,67.9,7.361393285190607
Senegal,SEN,2023,1698.03387300843,44.0673682244069,74.2,7.437226315440534
Singapore,SGP,2016,57204.0340105222,107.745868589242,100,10.954379699540622
Singapore,SGP,2017,61436.1325502558,107.472873863465,100,11.025753419067142
Singapore,SGP,2018,67032.8225769734,105.745250914262,100,11.112937667625118
Singapore,SGP,2019,66068.7003106378,104.621987875083,100,11.098450393430989
Singapore,SGP,2020,61772.5036492256,103.115839213946,100,11.031213619667575
Singapore,SGP,2021,80884.8565369236,102.951274385922,100,11.30078189809496
Singapore,SGP,2022,91227.6970426492,103.009804103267,100,11.421113825599319
Singapore,SGP,2023,86382.5900499252,103.082801906213,100,11.366541430435687
Sierra Leone,SLE,2015,964.575980888989,39.8463706970215,19.7,6.87168860673288
Sierra Leone,SLE,2016,844.416411175476,42.1386795043945,20.3,6.738645751094961
Sierra Leone,SLE,2017,779.186007841728,41.5312194824219,23.4,6.658249795085124
Sierra Leone,SLE,2018,845.914540460932,43.119270324707,26.1,6.740418338500136
Sierra Leone,SLE,2019,843.71251730417,61.1980781555176,22.7,6.737811817264169
Sierra Leone,SLE,2020,845.277558236182,62.5606803894043,26.3,6.739665044707714
Sierra Leone,SLE,2021,885.396401613729,73.4251403808594,27.5,6.786035456153492
Sierra Leone,SLE,2023,758.329137301888,86.9079513549805,35.5,6.631117509473353
El Salvador,SLV,2015,3790.34089108162,70.725825383614,95.4,8.240211238908092
El Salvador,SLV,2016,3901.34014965811,68.2966095615156,96,8.269075401208582
El Salvador,SLV,2017,4020.12671373919,66.1074423967185,96.8,8.29906870194694
El Salvador,SLV,2018,4183.54620971358,66.9325713689265,97,8.338914541381254
El Salvador,SLV,2019,4320.11671534627,64.8486537180759,97.4,8.371037698314458
El Salvador,SLV,2020,3997.19279583709,65.1837191291627,99.7,8.293347592683672
El Salvador,SLV,2021,4642.60743101342,64.9813787512946,97.9,8.443031433726683
El Salvador,SLV,2022,5074.60050994225,65.2267824913058,100,8.532003083558864
El Salvador,SLV,2023,5319.7195268688,65.5709865566541,98.3,8.579175860432532
El Salvador,SLV,2024,5503.10317151907,62.1425847697468,98.7,8.613067425115718
San Marino,SMR,2018,47950.7076296808,60.3284671532847,100,10.777928837860268
San Marino,SMR,2019,46626.9998571568,61.0058309037901,100,10.749935048404963
San Marino,SMR,2020,44426.6259613672,61.8604651162791,100,10.701594252496408
San Marino,SMR,2021,54168.9744311193,61.0071942446043,100,10.89986359605846
San Marino,SMR,2022,54264.5837022908,61.6779239246356,100,10.901627059281369
San Marino,SMR,2023,59871.3288101478,60.7940446650124,100,10.999953018597894
"Somalia, Fed. Rep.",SOM,2023,596.885985135589,3.34785008430481,50.3,6.391726115481282
Serbia,SRB,2015,5820.3215576888,96.6696090698242,99.9,8.669110789661225
Serbia,SRB,2016,5982.37030126471,96.234733581543,99.9,8.696572139859216
Serbia,SRB,2017,6548.03653824187,95.4950866699219,100,8.78692051853683
Serbia,SRB,2018,7559.86165747394,95.0872421264648,100,8.930608169730212
Serbia,SRB,2019,7755.632986437,94.4721908569336,99.8,8.956174695288947
Serbia,SRB,2020,8098.70955668849,92.2411727905273,100,8.999460013979633
Serbia,SRB,2021,9680.52798074468,92.3795013427734,100,9.177871722248542
Serbia,SRB,2022,10024.8191112596,91.9540023803711,100,9.212819208247351
Serbia,SRB,2024,13677.7794863909,89.8402786254883,100,9.52352785975523
Sub-Saharan Africa (excluding high income),SSA,2015,1646.07300085129,42.8740081787109,39.1909298102007,7.406147730709996
Sub-Saharan Africa (excluding high income),SSA,2016,1455.29231657117,42.51953125,43.8232546101961,7.282962064286825
Sub-Saharan Africa (excluding high income),SSA,2017,1547.77467837023,42.9003982543945,43.7549547695956,7.344573486946903
Sub-Saharan Africa (excluding high income),SSA,2018,1621.1285196776,43.1944885253906,46.4094139121308,7.390877802786312
Sub-Saharan Africa (excluding high income),SSA,2019,1795.55378673641,44.0311317443848,47.1889611753106,7.493068769628709
Sub-Saharan Africa (excluding high income),SSA,2020,1627.39235037313,44.7030181884766,48.5365084034364,7.394734227731127
Sub-Saharan Africa (excluding high income),SSA,2021,1784.88774854725,45.3279190063477,50.6485899183237,7.487110806268407
Sub-Saharan Africa (excluding high income),SSA,2022,1863.26040059117,45.4329109191895,51.5030975279241,7.5300831357084785
Sub-Saharan Africa (excluding high income),SSA,2023,1680.66097936273,45.7063407897949,53.2463204690134,7.426942435116907
Sub-Saharan Africa (excluding high income),SSA,2024,1541.07573422834,45.9034194946289,55.1061307522528,7.340235980269744
South Sudan,SSD,2015,1080.14718624765,11.5348100662231,4.8,6.984852594395143
Sub-Saharan Africa,SSF,2015,1647.32085826836,42.8760604858398,39.1964738206413,7.4069055249673275
Sub-Saharan Africa,SSF,2016,1456.65211115929,42.5216102600098,43.8283095558868,7.2838960070324426
Sub-Saharan Africa,SSF,2017,1549.18831908585,42.9023704528809,43.7599451875648,7.3454864076469315
Sub-Saharan Africa,SSF,2018,1622.59575329634,43.1964416503906,46.4140889472825,7.391782462736006
Sub-Saharan Africa,SSF,2019,1797.04121765415,44.0328903198242,47.1934897675941,7.49389682344547
Sub-Saharan Africa,SSF,2020,1628.43873346869,44.704761505127,48.5408462612868,7.395377002558593
Sub-Saharan Africa,SSF,2021,1785.98118191144,45.3296394348145,50.6526785971142,7.487723224937173
Sub-Saharan Africa,SSF,2022,1864.70686111925,45.4347686767578,51.5078310982515,7.530859140699468
Sub-Saharan Africa,SSF,2023,1682.2261488119,45.7079315185547,53.2507689805499,7.427873283820733
Sub-Saharan Africa,SSF,2024,1542.65844261619,45.9050216674805,55.1103542559,7.3412624685700045
Small states,SST,2015,10451.9964952878,72.242301940918,87.6813928879402,9.254548291325465
Small states,SST,2016,10492.0492970632,72.9925765991211,88.8486713357501,9.258373039513964
Small states,SST,2017,11319.4921033734,73.5249404907227,90.1550278534803,9.334281483557449
Small states,SST,2018,12064.6886372837,74.0403594970703,90.9647335432231,9.39803817062158
Small states,SST,2019,11997.3036529705,74.8342971801758,92.0919222790738,9.39243720793651
Small states,SST,2020,10730.4939107969,74.8698806762695,93.1195945831784,9.280844865394519
Small states,SST,2021,12435.8612830054,75.2126770019531,93.7468179373385,9.428339616645976
Small states,SST,2022,13644.5029834497,75.5592727661133,93.826993722259,9.52109200766773
Small states,SST,2023,14360.785757405,76.1052169799805,94.7947483488559,9.572256559587457
Small states,SST,2024,15409.264856078,77.5084533691406,94.5704846062365,9.642724221535588
Sao Tome and Principe,STP,2015,1298.10946596396,82.4009170532227,67.3,7.1686642280408845
Sao Tome and Principe,STP,2016,1434.87018050521,83.8791198730469,69.4,7.268829657554485
Sao Tome and Principe,STP,2017,1555.79477812888,90.4435729980469,74.3,7.349741805377325
